ticker,sector,window_days,n_obs,pearson_r,pearson_p,spearman_rho,spearman_p,excess_pearson_r,excess_pearson_p,significant_raw_5pct,significant_raw_10pct,significant_bh_5pct,significant_bh_10pct
XLK,Technology,30,90,0.05646764681549033,0.5970600812051869,0.0669300736716467,0.5308020463325239,0.0024491096012245195,0.9817224274130929,False,False,False,False
XLK,Technology,60,89,-0.045188007081529716,0.6741266120338317,-0.0761831801157644,0.4779629042960616,-0.07390595982776552,0.49125556058706193,False,False,False,False
XLK,Technology,90,88,-0.17281946851858584,0.10736501586720054,-0.17315346412595545,0.10667714992201634,-0.07465056368426008,0.4894166807948196,False,False,False,False
XLF,Financials,30,90,0.035727011445693214,0.7381493134197208,0.06776968350002058,0.5256482959531403,-0.027747528623342205,0.7951673138494628,False,False,False,False
XLF,Financials,60,89,0.021891664352010218,0.838642356529945,0.060163432073544444,0.5754352596559804,0.06516697207802276,0.5440244525394913,False,False,False,False
XLF,Financials,90,88,-0.20086966620939753,0.06057883218665972,-0.11378605896234724,0.29116077964713843,-0.10852518028594013,0.3141864441529627,False,True,False,False
XLV,Health Care,30,90,0.05105826887557155,0.6327055199917077,0.06367041198501872,0.5510466011541364,-0.029126152390489008,0.7852296755094909,False,False,False,False
XLV,Health Care,60,89,-0.008510524389670988,0.9369096965134501,-0.002638747020769493,0.9804202717261824,0.017277759614882312,0.8723251198519429,False,False,False,False
XLV,Health Care,90,88,-0.08572717864365133,0.4271039407959106,-0.10173998802437394,0.34557363005085073,0.144765833828768,0.17839693626905692,False,False,False,False
XLY,Consumer Discretionary,30,90,0.06758532464540314,0.5267777812833034,0.04416183067868461,0.6793858844006327,0.035290831027122826,0.7412328712784607,False,False,False,False
XLY,Consumer Discretionary,60,89,0.034183061318950735,0.7504724031581184,0.001021450459652707,0.9924201147401612,0.10349647173940715,0.334456609423901,False,False,False,False
XLY,Consumer Discretionary,90,88,-0.11729373746107029,0.27644410903370903,-0.09281110210982355,0.38975871767865,0.04293286586577741,0.6912416391591103,False,False,False,False
XLP,Consumer Staples,30,90,0.14156293005056608,0.18321385503574988,0.12050047330946208,0.2579220488688096,0.0654604068823528,0.5398835081211404,False,False,False,False
XLP,Consumer Staples,60,89,0.043448452912983854,0.6860006283484646,0.007456588355464762,0.9447095748585745,0.06276663126913848,0.5589881969670213,False,False,False,False
XLP,Consumer Staples,90,88,-0.08559206547139589,0.4278355700653484,-0.06889507238209293,0.5235969099178249,0.1471955094313633,0.17114302870825654,False,False,False,False
XLE,Energy,30,90,-0.07675253559054013,0.4721274535253108,-0.1213236202000247,0.2546607436334442,-0.13292067403005453,0.21169447172744968,False,False,False,False
XLE,Energy,60,89,-0.1504151756537122,0.15943549985339667,-0.12572352740892068,0.24040652711424595,-0.15395127192168126,0.14974165878543688,False,False,False,False
XLE,Energy,90,88,-0.17627526111521585,0.10041257771598822,-0.09265260117642916,0.39057234934564367,-0.09174871723231307,0.3952315951291267,False,False,False,False
XLI,Industrials,30,90,0.02383678595999591,0.8235306431743852,-0.03286825534016545,0.7584323424312481,-0.08616914735997198,0.41935032904826114,False,False,False,False
XLI,Industrials,60,89,-0.07128677953545999,0.5067822388049392,-0.10328566564521621,0.3354473665540716,-0.12422747568669557,0.2460929446417253,False,False,False,False
XLI,Industrials,90,88,-0.2281566395627351,0.03251824281134638,-0.1529005670811173,0.15496718109792534,-0.1438394502013974,0.18122106537329769,True,True,False,False
XLB,Materials,30,90,-0.022728726552902076,0.8316101122232837,-0.056048071778408856,0.5997925740379149,-0.15146993194087843,0.15412239033026431,False,False,False,False
XLB,Materials,60,89,-0.1299574674532455,0.22480884218283068,-0.14307116104868917,0.18104564070986956,-0.20043628077079914,0.05965412117071099,False,False,False,False
XLB,Materials,90,88,-0.27367265526895823,0.009879297408415146,-0.22279947870804132,0.03693665804146357,-0.22681911001590993,0.03357746199158323,True,True,False,False
XLRE,Real Estate,30,84,0.08123586699204982,0.4625841627746999,0.07775640376632581,0.4820330445828035,0.03976341649777871,0.7195059711067463,False,False,False,False
XLRE,Real Estate,60,83,-0.04368439084129064,0.6949582151862789,-0.09330002938583602,0.4015002071020858,-0.015293687610654184,0.8908513203840758,False,False,False,False
XLRE,Real Estate,90,82,-0.18719750014511924,0.09217315489998833,-0.15190300497382483,0.173089538592437,0.016701751336118315,0.8816094086719821,False,True,False,False
XLU,Utilities,30,90,0.08508484892245616,0.4252478438032609,0.03352677285261555,0.7537450492145743,0.017592364959837015,0.8692780408603116,False,False,False,False
XLU,Utilities,60,89,-0.045908957728302446,0.6692285566641518,-0.10277494041538987,0.3378553896400095,-0.019320703239623593,0.8573792867360199,False,False,False,False
XLU,Utilities,90,88,-0.04580116262557189,0.6717611390500088,-0.03481737170230004,0.747419723800272,0.13162100882354344,0.2215615564008471,False,False,False,False
XLC,Communication Services,30,62,0.13835049092081336,0.2835537717246196,0.13656165797889752,0.28988570118178436,0.08761897291073803,0.4982941666151868,False,False,False,False
XLC,Communication Services,60,61,0.03141242971300243,0.8100801289732613,0.0023268112109994707,0.985800771917771,0.08871493358830417,0.4965716456133682,False,False,False,False
XLC,Communication Services,90,60,-0.14473317152970716,0.26988103344074305,-0.1669352597943874,0.20236549890643,0.007457021489709059,0.9549056396740709,False,False,False,False
